"","cell","TissueType","OncoTree1","OncoTree2","OncoTree3","OncoTree4","TNBC","name","source","celloidx","celloacs","cid","ot2","ot3","ot4","ot1","link"
"1","1321n1","central_nervous_system: astrocytoma","Brain_CNS","Diffuse Glioma (DIFG)","Astrocytoma (ASTR)","","","1321N1","ccle","1321N1","CVCL_0110","1321n1","diffuse glioma","astrocytoma","","Brain_CNS","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/1321n1_cvcl_0110.html' target='_blank'>details</a>"
"2","143b","bone: osteosarcoma;bone","Bone","Osteosarcoma (OS);osteosarcoma","","","","143B","ccle;achilles","143B","CVCL_2270","143b","osteosarcoma","","","Bone","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/143b_cvcl_2270.html' target='_blank'>details</a>"
"3","184a1","breast","Breast","","","","","184A1","mdaMills","184A1","CVCL_3040","184a1","","","","Breast","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/184a1_cvcl_3040.html' target='_blank'>details</a>"
"4","184b5","breast","Breast","","","","","184B5","mdaMills","184B5","CVCL_4688","184b5","","","","Breast","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/184b5_cvcl_4688.html' target='_blank'>details</a>"
"5","201t","LUAD","Lung","Non-Small Cell Lung Cancer (NSCLC)","","","","201T","gdscDec15","201T","CVCL_X481","201t","non-small cell lung cancer","","","Lung","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/201t_cvcl_x481.html' target='_blank'>details</a>"
"6","22rv1","prostate: carcinoma;PRAD;Prostate;urogenital_system","Prostate","Prostate Adenocarcinoma","","","","22Rv1;22RV1","ccle;gdscDec15;prism;gdsc1;gdsc2","22Rv1","CVCL_1045","22rv1","prostate adenocarcinoma","","","Prostate","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/22rv1_cvcl_1045.html' target='_blank'>details</a>"
"7","2313287","stomach: adenocarcinoma;STAD;Gastric;stomach;digestive_system","Esophagus_Stomach","Esophagogastric Adenocarcinoma (EGC);Gastric Adenocarcinoma;gastric_adenocarcinoma","Stomach Adenocarcinoma (STAD);","","","23132/87;23132-87;2313287","ccle;gdscDec15;prism;achilles;gdsc1;gdsc2","23132/87","CVCL_1046","2313287","esophagogastric adenocarcinoma;gastric adenocarcinoma","stomach adenocarcinoma;","","Esophagus_Stomach","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/2313287_cvcl_1046.html' target='_blank'>details</a>"
"8","253j","urinary_tract: transitional_cell_carcinoma;Urinary Tract;lymph_node","Bladder_Urinary_Tract","Bladder Urothelial Carcinoma (BLCA);Bladder Carcinoma;bladder_carcinoma","","","","253J","ccle;prism;achilles","253J","CVCL_7935","253j","bladder urothelial carcinoma;bladder carcinoma","","","Bladder_Urinary_Tract","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/253j_cvcl_7935.html' target='_blank'>details</a>"
"9","253j-bv","urinary_tract: transitional_cell_carcinoma;Urinary Tract","Bladder_Urinary_Tract","Bladder Urothelial Carcinoma (BLCA);Bladder Carcinoma","","","","253J-BV;253JBV","ccle;prism","253J-BV","CVCL_7937","253j-bv","bladder urothelial carcinoma;bladder carcinoma","","","Bladder_Urinary_Tract","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/253j-bv_cvcl_7937.html' target='_blank'>details</a>"
"10","42-mg-ba","central_nervous_system: astrocytoma_Grade_IV;GBM;Central Nervous System;central_nervous_system;nervous_system","Brain_CNS","Diffuse Glioma (DIFG);Glioma;glioma","Astrocytoma (ASTR);Astrocytoma;astrocytoma","","","42-MG-BA;42MGBA","ccle;gdscDec15;prism;achilles;gdsc1;gdsc2","42-MG-BA","CVCL_1798","42-mg-ba","diffuse glioma;glioma","astrocytoma","","Brain_CNS","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/42-mg-ba_cvcl_1798.html' target='_blank'>details</a>"
