"","cell","TissueType","OncoTree1","OncoTree2","OncoTree3","OncoTree4","TNBC","name","source","celloidx","celloacs","cid","ot2","ot3","ot4","ot1","link"
"11","451lu","SKCM;skin","Skin","","","","","451Lu","gdscDec15;gdsc1;gdsc2","451Lu","CVCL_6357","451lu","","","","Skin","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/451lu_cvcl_6357.html' target='_blank'>details</a>"
"12","5637","urinary_tract: carcinoma;BLCA;Urinary Tract;urinary_tract;urogenital_system","Bladder_Urinary_Tract","Bladder Carcinoma;bladder_carcinoma","","","","5637","ccle;gdscDec15;prism;achilles;gdsc1;gdsc2","5637","CVCL_0126","5637","bladder carcinoma","","","Bladder_Urinary_Tract","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/5637_cvcl_0126.html' target='_blank'>details</a>"
"13","59m","ovary: carcinoma;ascites","Ovary","Ovarian Epithelial Tumor (OVT);ovary_adenocarcinoma","high_grade_serous","","","59M","ccle;achilles;mdaMills","59M","CVCL_2291","59m","ovarian epithelial tumor;ovary adenocarcinoma","high grade serous","","Ovary","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/59m_cvcl_2291.html' target='_blank'>details</a>"
"14","639v","urinary_tract: transitional_cell_carcinoma;OTHER;Urinary Tract;urinary_tract;urogenital_system","Bladder_Urinary_Tract","Bladder Urothelial Carcinoma (BLCA);Bladder Carcinoma;bladder_carcinoma","Bladder Transitional Cell;bladder_transitional_cell","","","639-V;639V","ccle;gdscDec15;prism;achilles;gdsc1;gdsc2","639V","CVCL_1048","639v","bladder urothelial carcinoma;bladder carcinoma","bladder transitional cell","","Bladder_Urinary_Tract","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/639v_cvcl_1048.html' target='_blank'>details</a>"
"15","647v","urinary_tract: transitional_cell_carcinoma;BLCA;Urinary Tract;urinary_tract;urogenital_system","Bladder_Urinary_Tract","Bladder Urothelial Carcinoma (BLCA);Bladder Carcinoma;bladder_carcinoma","","","","647-V;647V","ccle;gdscDec15;prism;achilles;gdsc1;gdsc2","647V","CVCL_1049","647v","bladder urothelial carcinoma;bladder carcinoma","","","Bladder_Urinary_Tract","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/647v_cvcl_1049.html' target='_blank'>details</a>"
"16","697","haematopoietic_and_lymphoid_tissue: acute_lymphoblastic_B_cell_leukaemia;bone_marrow;leukemia","Blood","Leukemia (LEUK);ALL","Acute Lymphoid Leukemia (ALL);b_cell","","","697","ccle;gdscDec15;achilles;gdsc1;gdsc2","697","CVCL_0079","697","leukemia;all","acute lymphoid leukemia;b cell","","Blood","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/697_cvcl_0079.html' target='_blank'>details</a>"
"17","769-p","kidney: clear_cell_renal_cell_carcinoma;KIRC;Kidney;kidney","Kidney","Renal Cell Carcinoma (RCC);Renal Cell Carcinoma;renal_cell_carcinoma","Renal Clear Cell Carcinoma (CCRCC);Clear Cell;clear_cell","","","769-P;769P","ccle;gdscDec15;prism;achilles;mdaMills;gdsc1;gdsc2","769-P","CVCL_1050","769-p","renal cell carcinoma","renal clear cell carcinoma;clear cell","","Kidney","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/769-p_cvcl_1050.html' target='_blank'>details</a>"
"18","786-o","renal;kidney: clear_cell_renal_cell_carcinoma;KIRC;Kidney;kidney","Kidney","Renal Cell Carcinoma (RCC);Renal Cell Carcinoma;renal_cell_carcinoma","Renal Clear Cell Carcinoma (CCRCC);Clear Cell;clear_cell","","","RE:786-0;786-O;786-0;786O","nci60;ccle;gdscDec15;prism;achilles;mdaMills;gdsc1;gdsc2","786-O","CVCL_1051","786-o","renal cell carcinoma","renal clear cell carcinoma;clear cell","","Kidney","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/786-o_cvcl_1051.html' target='_blank'>details</a>"
"19","8-mg-ba","central_nervous_system: astrocytoma_Grade_IV;GBM;Central Nervous System;central_nervous_system;nervous_system","Brain_CNS","Diffuse Glioma (DIFG);Glioma;glioma","Astrocytoma (ASTR);Astrocytoma;astrocytoma","","","8-MG-BA;8MGBA","ccle;gdscDec15;prism;achilles;gdsc1;gdsc2","8-MG-BA","CVCL_1052","8-mg-ba","diffuse glioma;glioma","astrocytoma","","Brain_CNS","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/8-mg-ba_cvcl_1052.html' target='_blank'>details</a>"
"20","8305c","thyroid: anaplastic_carcinoma;THCA;Thyroid;thyroid","Thyroid","Anaplastic Thyroid Cancer (THAP);Thyroid Carcinoma;thyroid_carcinoma","","","","8305C","ccle;gdscDec15;prism;achilles;gdsc1;gdsc2","8305C","CVCL_1053","8305c","anaplastic thyroid cancer;thyroid carcinoma","","","Thyroid","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/8305c_cvcl_1053.html' target='_blank'>details</a>"
"21","8505c","thyroid: anaplastic_carcinoma;THCA;Thyroid;thyroid","Thyroid","Anaplastic Thyroid Cancer (THAP);Thyroid Carcinoma","","","","8505C","ccle;gdscDec15;prism;gdsc1;gdsc2","8505C","CVCL_1054","8505c","anaplastic thyroid cancer;thyroid carcinoma","","","Thyroid","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/8505c_cvcl_1054.html' target='_blank'>details</a>"
"22","950-5-bik","pancreas","Pancreas","exocrine","exocrine_adenocarcinoma","","","9505BIK","achilles","950-5-BIK","CVCL_A1UH","950-5-bik","exocrine","exocrine adenocarcinoma","","Pancreas","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/950-5-bik_cvcl_a1uh.html' target='_blank'>details</a>"
"23","95t1000","soft_tissue","Soft_Tissue","liposarcoma","WDLPS","","","95T1000","achilles","95T1000","CVCL_WU67","95t1000","liposarcoma","wdlps","","Soft_Tissue","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/95t1000_cvcl_wu67.html' target='_blank'>details</a>"
"24","a-1207","central_nervous_system: glioma","Brain_CNS","","","","","A1207","ccle","A-1207","CVCL_8481","a-1207","","","","Brain_CNS","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/a-1207_cvcl_8481.html' target='_blank'>details</a>"
"25","a-172","central_nervous_system: astrocytoma_Grade_IV;GBM;Central Nervous System;nervous_system","Brain_CNS","Diffuse Glioma (DIFG);Glioma","Astrocytoma (ASTR);Glioblastoma","","","A172","ccle;gdscDec15;prism;gdsc1;gdsc2","A-172","CVCL_0131","a-172","diffuse glioma;glioma","astrocytoma;glioblastoma","","Brain_CNS","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/a-172_cvcl_0131.html' target='_blank'>details</a>"
"26","a-1847","","Other","","","","","A1847","gdscDec15","A-1847","CVCL_9724","a-1847","","","","Other","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/a-1847_cvcl_9724.html' target='_blank'>details</a>"
"27","a-204","Rhabdoid Tumor;Soft Tissue;soft_tissue","Other;Soft_Tissue","Rhabdoid Cancer (MRT);Malignant Rhabdoid Tumor","","","","A-204;A204","ccle;gdscDec15;prism;mdaMills;gdsc1;gdsc2","A-204","CVCL_1058","a-204","rhabdoid cancer;malignant rhabdoid tumor","","","Soft_Tissue","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/a-204_cvcl_1058.html' target='_blank'>details</a>"
"28","a-253","salivary_gland: mucoepidermoid_carcinoma;upper_aerodigestive_tract;aero_dig_tract","Head_Neck;Other","Salivary Carcinoma (SACA);upper_aerodigestive_squamous","Mucoepidermoid Carcinoma (MUCC);salivary_gland","","","A-253;A253","ccle;gdscDec15;achilles;gdsc1;gdsc2","A-253","CVCL_1060","a-253","salivary carcinoma;upper aerodigestive squamous","mucoepidermoid carcinoma;salivary gland","","Head_Neck","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/a-253_cvcl_1060.html' target='_blank'>details</a>"
"29","a-375","skin: malignant_melanoma;Skin;skin;Amelanotic melanoma","Skin","Melanoma (MEL);Melanoma;melanoma","","","","A-375;A375","ccle;gdscDec15;prism;achilles;mdaMills;gdsc1;gdsc2;ancats","A-375","CVCL_0132","a-375","melanoma","","","Skin","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/a-375_cvcl_0132.html' target='_blank'>details</a>"
"30","a-388","lymph_node;skin","Other;Cervix","Unknown (UNK);cervical_squamous","","","","A388","gdscDec15;achilles;gdsc1;gdsc2","A-388","CVCL_1063","a-388","cervical squamous","","","Cervix","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/a-388_cvcl_1063.html' target='_blank'>details</a>"
"31","a-427","Lung;CANNOT_CLASSIFY;lung;lung_NSCLC","Lung","NSCLC","NSCLC_adenocarcinoma","","","A427","ccle;gdscDec15;achilles;mdaMills;gdsc1;gdsc2","A-427","CVCL_1055","a-427","nsclc","nsclc adenocarcinoma","","Lung","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/a-427_cvcl_1055.html' target='_blank'>details</a>"
"32","a-431","OTHER;skin","Other;Skin","skin_squamous","","","","A431","gdscDec15;achilles;gdsc1;gdsc2","A-431","CVCL_0037","a-431","skin squamous","","","Skin","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/a-431_cvcl_0037.html' target='_blank'>details</a>"
"33","a-498","renal;kidney: renal_cell_carcinoma;KIRC;kidney","Kidney","Renal Cell Carcinoma (RCC)","","","","RE:A498;A-498;A498","nci60;ccle;gdscDec15;mdaMills;gdsc1;gdsc2","A-498","CVCL_1056","a-498","renal cell carcinoma","","","Kidney","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/a-498_cvcl_1056.html' target='_blank'>details</a>"
"34","a-549","lung;lung: non_small_cell_carcinoma;LUAD;Non-Small Cell Lung Cancer;Lung;lung_NSCLC;Lung adenocarcinoma","Lung","Non-Small Cell Lung Cancer (NSCLC);NSCLC","NSCLC Adenocarcinoma;NSCLC_adenocarcinoma","","","LC:A549/ATCC;A549;A549/ATCC;A-549","nci60;ccle;gdscDec15;nciSclc;prism;achilles;mdaMills;gdsc1;gdsc2;ancats","A-549","CVCL_0023","a-549","non-small cell lung cancer;nsclc","nsclc adenocarcinoma","","Lung","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/a-549_cvcl_0023.html' target='_blank'>details</a>"
"35","a-673","bone: Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour;Bone;soft_tissue","Bone;Soft_Tissue","Ewing Sarcoma (ES);Rhabdomyosarcoma (RMS);Ewing Sarcoma;Ewing_sarcoma","","EWS_FLI","","A-673;A673","ccle;gdscDec15;prism;achilles;mdaMills;gdsc1;gdsc2","A-673","CVCL_0080","a-673","ewing sarcoma;rhabdomyosarcoma","","ews fli","Bone;Soft_Tissue","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/a-673_cvcl_0080.html' target='_blank'>details</a>"
"36","a-704","kidney: renal_cell_carcinoma;KIRC;Kidney;kidney","Kidney","Renal Cell Carcinoma (RCC);Renal Cell Carcinoma","","","","A-704;A704","ccle;gdscDec15;prism;mdaMills;gdsc1;gdsc2","A-704","CVCL_1065","a-704","renal cell carcinoma","","","Kidney","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/a-704_cvcl_1065.html' target='_blank'>details</a>"
"37","a101d","skin: malignant_melanoma;SKCM;Skin;skin","Skin","Melanoma (MEL);Melanoma","","","","A101D","ccle;gdscDec15;prism;gdsc1;gdsc2","A101D","CVCL_1057","a101d","melanoma","","","Skin","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/a101d_cvcl_1057.html' target='_blank'>details</a>"
"38","a2058","skin: malignant_melanoma;SKCM;Skin;lymph_node;skin","Skin","Melanoma (MEL);Melanoma;melanoma","","","","A2058","ccle;gdscDec15;prism;achilles;mdaMills;gdsc1;gdsc2","A2058","CVCL_1059","a2058","melanoma","","","Skin","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/a2058_cvcl_1059.html' target='_blank'>details</a>"
"39","a2780","ovary: adenocarcinoma;Ovary;ovary;urogenital_system","Ovary","Ovarian Epithelial Tumor (OVT);Ovary Adenocarcinoma;ovary_adenocarcinoma","Endometrioid;endometrioid","","","A2780","ccle;gdscDec15;prism;achilles;mdaMills;gdsc1;gdsc2","A2780","CVCL_0134","a2780","ovarian epithelial tumor;ovary adenocarcinoma","endometrioid","","Ovary","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/a2780_cvcl_0134.html' target='_blank'>details</a>"
"40","a3kawakami","haematopoietic_and_lymphoid_tissue: diffuse_large_B_cell_lymphoma;DLBC;ascites;lymphoma","Lymph","Non-Hodgkin's Lymphoma (NHL);non_hodgkin_lymphoma","B-Cell Lymphoma (BCL);DLBCL","Diffuse Large B-Cell Lymphoma (DLBCL)","","A3/KAW;A3-KAW;A3KAW","ccle;gdscDec15;achilles;gdsc1;gdsc2","A3/Kawakami","CVCL_1062","a3kawakami","non-hodgkin's lymphoma;non hodgkin lymphoma","b-cell lymphoma;dlbcl","diffuse large b-cell lymphoma","Lymph","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/a3kawakami_cvcl_1062.html' target='_blank'>details</a>"
"41","a4573","bone","Bone","","","","","A4573","mdaMills","A4573","CVCL_6245","a4573","","","","Bone","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/a4573_cvcl_6245.html' target='_blank'>details</a>"
"42","a4fukuda","haematopoietic_and_lymphoid_tissue: diffuse_large_B_cell_lymphoma;DLBC;lymphoma","Lymph","Non-Hodgkin's Lymphoma (NHL)","B-Cell Lymphoma (BCL)","Diffuse Large B-Cell Lymphoma (DLBCL)","","A4/Fuk;A4-Fuk","ccle;gdscDec15;gdsc1;gdsc2","A4/Fukuda","CVCL_1064","a4fukuda","non-hodgkin's lymphoma","b-cell lymphoma","diffuse large b-cell lymphoma","Lymph","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/a4fukuda_cvcl_1064.html' target='_blank'>details</a>"
"43","abc-1","lung: non_small_cell_carcinoma;LUAD;Lung;pleural_effusion;lung_NSCLC","Lung","Non-Small Cell Lung Cancer (NSCLC);NSCLC","Lung Adenocarcinoma (LUAD);NSCLC Adenocarcinoma;NSCLC_adenocarcinoma","","","ABC-1;ABC1","ccle;gdscDec15;prism;achilles;gdsc1;gdsc2","ABC-1","CVCL_1066","abc-1","non-small cell lung cancer;nsclc","lung adenocarcinoma;nsclc adenocarcinoma","","Lung","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/abc-1_cvcl_1066.html' target='_blank'>details</a>"
"44","acc-meso-1","pleura: mesothelioma;Lung;pleura","Mesothelium;Lung","Mesothelioma (MESO);Mesothelioma;mesothelioma","","","","ACC-MESO-1;ACCMESO1","ccle;prism;achilles","ACC-MESO-1","CVCL_5113","acc-meso-1","mesothelioma","","","Mesothelium;Lung","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/acc-meso-1_cvcl_5113.html' target='_blank'>details</a>"
"45","achn","renal;kidney: renal_cell_carcinoma;KIRC;Kidney;kidney","Kidney","Renal Cell Carcinoma (RCC);Renal Cell Carcinoma","","","","RE:ACHN;ACHN","nci60;ccle;gdscDec15;prism;mdaMills;gdsc1;gdsc2","ACHN","CVCL_1067","achn","renal cell carcinoma","","","Kidney","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/achn_cvcl_1067.html' target='_blank'>details</a>"
"46","acn","","Brain_CNS","Embryonal Tumor (EMBT)","Neuroblastoma (NBL)","","","ACN","gdscDec15","ACN","CVCL_1068","acn","embryonal tumor","neuroblastoma","","Brain_CNS","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/acn_cvcl_1068.html' target='_blank'>details</a>"
"47","ags","stomach: adenocarcinoma;Gastric;stomach;digestive_system","Esophagus_Stomach","Esophagogastric Adenocarcinoma (EGC);Gastric Adenocarcinoma;gastric_adenocarcinoma","Stomach Adenocarcinoma (STAD);","","","AGS","ccle;gdscDec15;prism;achilles;mdaMills;gdsc1;gdsc2","AGS","CVCL_0139","ags","esophagogastric adenocarcinoma;gastric adenocarcinoma","stomach adenocarcinoma;","","Esophagus_Stomach","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/ags_cvcl_0139.html' target='_blank'>details</a>"
"48","akata-2a8","blood","Blood","","","","","2A8","mdaMills","Akata 2A8","CVCL_6247","akata-2a8","","","","Blood","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/akata-2a8_cvcl_6247.html' target='_blank'>details</a>"
"49","all-po","leukemia","Blood","Leukemia (LEUK)","","","","ALL-PO","gdscDec15;gdsc1;gdsc2","ALL-PO","CVCL_1069","all-po","leukemia","","","Blood","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/all-po_cvcl_1069.html' target='_blank'>details</a>"
"50","all-sil","haematopoietic_and_lymphoid_tissue: acute_lymphoblastic_T_cell_leukaemia;leukemia","Blood","Leukemia (LEUK)","Acute Lymphoid Leukemia (ALL)","","","ALL-SIL","ccle;gdscDec15;gdsc1;gdsc2","ALL-SIL","CVCL_1805","all-sil","leukemia","acute lymphoid leukemia","","Blood","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/all-sil_cvcl_1805.html' target='_blank'>details</a>"
"51","am-38","central_nervous_system: astrocytoma_Grade_IV;GBM;nervous_system","Brain_CNS","Diffuse Glioma (DIFG)","Astrocytoma (ASTR)","","","AM-38","ccle;gdscDec15;gdsc1;gdsc2","AM-38","CVCL_1070","am-38","diffuse glioma","astrocytoma","","Brain_CNS","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/am-38_cvcl_1070.html' target='_blank'>details</a>"
"52","aml-193","haematopoietic_and_lymphoid_tissue: acute_myeloid_leukaemia;haematopoietic_and_lymphoid_tissue","Blood","Leukemia (LEUK);AML","Acute Myeloid Leukemia (AML);M5","","","AML-193;AML193","ccle;achilles","AML-193","CVCL_1071","aml-193","leukemia;aml","acute myeloid leukemia;m5","","Blood","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/aml-193_cvcl_1071.html' target='_blank'>details</a>"
"53","amo1","haematopoietic_and_lymphoid_tissue: plasma_cell_myeloma;ascites;myeloma;Plasma cell myeloma","Blood","Multiple Myeloma (MM);multiple_myeloma","plasmacytoma","","","AMO-1;AMO1","ccle;gdscDec15;achilles;mdaMills;gdsc1;gdsc2;ancats","AMO1","CVCL_1806","amo1","multiple myeloma","plasmacytoma","","Blood","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/amo1_cvcl_1806.html' target='_blank'>details</a>"
"54","an3-ca","endometrium: adenocarcinoma;UCEC;Uterus;urogenital_system","Uterus","Endometrial Carcinoma (UCEC);Endometrial Adenocarcinoma","","","","AN3 CA;AN3-CA;AN3CA","ccle;gdscDec15;prism;mdaMills;gdsc1;gdsc2","AN3-CA","CVCL_0028","an3-ca","endometrial carcinoma;endometrial adenocarcinoma","","","Uterus","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/an3-ca_cvcl_0028.html' target='_blank'>details</a>"
"55","angm-css","central_nervous_system","Brain_CNS","glioma","glioblastoma","","","ANGMCSS","achilles","ANGM-CSS","CVCL_2297","angm-css","glioma","glioblastoma","","Brain_CNS","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/angm-css_cvcl_2297.html' target='_blank'>details</a>"
"56","ard","Plasma cell myeloma","Blood","","","","","ARD","ancats","ARD","CVCL_XD83","ard","","","","Blood","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/ard_cvcl_xd83.html' target='_blank'>details</a>"
"57","arh-77","myeloma","Blood","Multiple Myeloma (MM)","","","","ARH-77","gdscDec15;gdsc1;gdsc2","ARH-77","CVCL_1072","arh-77","multiple myeloma","","","Blood","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/arh-77_cvcl_1072.html' target='_blank'>details</a>"
"58","arp-1","Plasma cell myeloma","Blood","","","","","ARP-1","ancats","ARP-1","CVCL_D523","arp-1","","","","Blood","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/arp-1_cvcl_d523.html' target='_blank'>details</a>"
"59","ash-3","THCA;thyroid","Thyroid","thyroid_carcinoma","","","","ASH-3;ASH3","gdscDec15;achilles;gdsc1;gdsc2","ASH-3","CVCL_2856","ash-3","thyroid carcinoma","","","Thyroid","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/ash-3_cvcl_2856.html' target='_blank'>details</a>"
"60","aspc-1","pancreas: ductal_carcinoma;PAAD;Pancreas;ascites;pancreas","Pancreas","Pancreatic Adenocarcinoma (PAAD);Exocrine;exocrine","Exocrine Adenocarcinoma;exocrine_adenocarcinoma","","","AsPC-1;ASPC1","ccle;gdscDec15;prism;achilles;mdaMills;gdsc1;gdsc2","AsPC-1","CVCL_0152","aspc-1","pancreatic adenocarcinoma;exocrine","exocrine adenocarcinoma","","Pancreas","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/aspc-1_cvcl_0152.html' target='_blank'>details</a>"
"61","atn-1","leukemia","Blood","Leukemia (LEUK)","","","","ATN-1","gdscDec15;gdsc1;gdsc2","ATN-1","CVCL_1073","atn-1","leukemia","","","Blood","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/atn-1_cvcl_1073.html' target='_blank'>details</a>"
"62","au565","breast: carcinoma;BRCA;pleural_effusion;breast","Breast","Breast Carcinoma (BRCA);breast_adenocarcinoma","ERneg_HER2pos","","","AU565","ccle;gdscDec15;achilles;mdaMills;gdsc1;gdsc2","AU565","CVCL_1074","au565","breast carcinoma;breast adenocarcinoma","erneg her2pos","","Breast","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/au565_cvcl_1074.html' target='_blank'>details</a>"
"63","az-521","stomach: carcinoma","Esophagus_Stomach","","","","","AZ-521","ccle","AZ-521","CVCL_2862","az-521","","","","Esophagus_Stomach","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/az-521_cvcl_2862.html' target='_blank'>details</a>"
"64","b-cpap","thyroid: papillary_carcinoma;THCA;Thyroid;thyroid","Thyroid","Papillary Thyroid Cancer (THPA);Thyroid Carcinoma","Papillary","","","B-CPAP;BCPAP","ccle;gdscDec15;prism;gdsc1;gdsc2","B-CPAP","CVCL_0153","b-cpap","papillary thyroid cancer;thyroid carcinoma","papillary","","Thyroid","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/b-cpap_cvcl_0153.html' target='_blank'>details</a>"
"65","ball-1","blood;leukemia","Blood","Leukemia (LEUK)","","","","BALL-1;BALL1","gdscDec15;mdaMills;gdsc1;gdsc2","BALL-1","CVCL_1075","ball-1","leukemia","","","Blood","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/ball-1_cvcl_1075.html' target='_blank'>details</a>"
"66","bb30-hnc","HNSC;aero_dig_tract","Head_Neck","","","","","BB30-HNC","gdscDec15;gdsc1;gdsc2","BB30-HNC","CVCL_1076","bb30-hnc","","","","Head_Neck","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/bb30-hnc_cvcl_1076.html' target='_blank'>details</a>"
"67","bb49-hnc","HNSC;aero_dig_tract","Head_Neck","","","","","BB49-HNC","gdscDec15;gdsc1;gdsc2","BB49-HNC","CVCL_1077","bb49-hnc","","","","Head_Neck","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/bb49-hnc_cvcl_1077.html' target='_blank'>details</a>"
"68","bb65-rcc","KIRC;kidney","Kidney","Renal Cell Carcinoma (RCC)","","","","BB65-RCC","gdscDec15;gdsc1;gdsc2","BB65-RCC","CVCL_1078","bb65-rcc","renal cell carcinoma","","","Kidney","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/bb65-rcc_cvcl_1078.html' target='_blank'>details</a>"
